Term,Definition
Institution-Affiliated Party,"The term institution-affiliated party means  any director, officer, employee, or controlling stockholder (other than a bank holding company or savings and loan holding company) of, or agent for, an insured depository institution."
Violation,"The term violation includes any action (alone or with another or others) for or toward causing, bringing about, participating in, counseling, or aiding or abetting a violation."
Depository Institutions Holding Company,"The term ""depository institution holding company"" means a bank holding company or a savings and loan holding company."
Bank Holding Company," The term ""bank holding company"" has the meaning given to such term insection 2 of the Bank Holding Company Act of 1956."
Savings and Loan Holding Company,"The term ""savings and loan holding company"" has the meaning given to such term insection 10 of the Home Owners' Loan Act."
Subsidiary,"The term ""subsidiary"" means any company which is owned or controlled directly or indirectly by another company and includes any service corporation owned in whole or in part by an insured depository institution or any subsidiary of such a service corporation."
Control,"The term ""control"" has the meaning given to such term in section 2 of the Bank Holding Company Act of 1956."
Affiliate,"The term ""affiliate"" has the meaning given to such term in section 2(k) of the Bank Holding Company Act of 1956."
Company,"The term ""company"" has the same meaning as in section 2(b) of the Bank Holding Company Act of 1956. "
Default,"The term ""default"" means, with respect to an insured depository institution, any adjudication or other official determination by any court of competent jurisdiction, the appropriate Federal banking agency, or other public authority pursuant to which a conservator, receiver, or other legal custodian is appointed for an insured depository institution or, in the case of a foreign bank having an insured branch, for such branch. "
In Danger of Default,"The term ""in danger of default"" means an insured depository institution with respect to which (or in the case of a foreign bank having an insured branch, with respect to such insured branch) the appropriate Federal banking agency or State chartering authority has advised the Corporation (or, if the appropriate Federal banking agency is the Corporation, the Corporation has determined) that (A) in the opinion of such agency or authority (i) the depository institution or insured branch is not likely to be able to meet the demands of the institution's or branch's depositors or pay the institution's or branch's obligations in the normal course of business and (ii)�there is no reasonable prospect that the depository institution or insured branch will be able to meet such demands or pay such obligations without Federal assistance or (B)�in the opinion of such agency or authority (i)�the depository institution or insured branch has incurred or is likely to incur losses that will deplete all or substantially all of its capital and (ii)�there is no reasonable prospect that the capital of the depository institution or insured branch will be replenished without Federal assistance."
Deposit Insurance Fund,Deposit Insurance Fund means the Deposit Insurance Fund established under section 11(a)4. 
Designated Reserve Ratio,"The term ""designated reserve ratio"" means the reserve ratio designated by the Board of Directors in accordance with section 7(b)(3)."
Reserve Ratio,"The term ""reserve ratio"", when used with regard to the Deposit Insurance Fund other than in connection with a reference to the designated reserve ratio, means the ratio of the net worth of the Deposit Insurance Fund to the value of the aggregate estimated insured deposits or such comparable percentage of the assessment base set forth in section 7(b)(2)(C)."
Federal Banking Agency,"The term Federal banking agency means the Comptroller of the Currency, the Board of Governors of the Federal Reserve System, or the Federal Deposit Insurance Corporation."
NEGATIVE CARRY,"Any transaction or TRADE where the RETURNS gener- ated by an ASSET are smaller than the costs of financing and storing the asset. See also CARRY, CARRY TRADE, POSITIVE CARRY."
Consumer Discretionary,"Consumer discretionary is a term for classifying goods and services that are considered non-essential by consumers, but desirable if their available income is sufficient to purchase them. Examples of consumer discretionary products can include durable goods, high-end apparel, entertainment, leisure activities, and automobiles."
OBJECTIVE RISK,"A measure of the deviation between an INSURER’s actuallosses and its EXPECTED LOSSES (as predicted through ACTUARIAL PRICINGtechniques). The greater the objective risk, the larger the losses and the lessaccurate the pricing methodologies."
Patents,"In 1899 the commissioner of the American Office of Patents recommended that his office be abolished because “everything that can be invented has been invented”. The fact that there has been so much INNOVATION during the subsequent 100 years may owe something to the existence of patents. Economists reckon that if people are going to spend the time and MONEY needed to think up and develop new products, they need to be fairly confident that if the idea works they will earn a decent PROFIT. Patents help achieve this by granting the inventor a temporary MONOPOLY over the idea, to stop it being stolen by imitators who have not borne any of the development RISK and costs. Like any monopoly, patents create inefficiency because of the lack of COMPETITION to produce and sell the product. So economists debate how long patent protection should last.  There is also debate about which sorts of innovation require the encouragement of a potential monopoly to make them happen. Furthermore, the pace of innovation in some industries has sharply reduced the number of years during which a patent is valuable. Some economists say that this shows that patents do not play a large part in the process of innovation."
MASTER FUND,A FUND that invests CAPITAL gathered from INVESTORS through one or more FEEDER FUNDS. The master fund structure is widely employed in the HEDGE FUND sector.
Non-GAAP Earnings,"Non-GAAP earnings are an alternative accounting method used to measure the earnings of a company. Many companies report non-GAAP earnings in addition to their earnings based on Generally Accepted Accounting Principles (GAAP). These pro forma figures, which exclude ""one-time"" transactions, can sometimes provide a more accurate measure of a company’s financial performance from direct business operations."
AGENCY CAPTIVE,"A CAPTIVE, owned by one or more INSURANCE AGENTS, which is used to write INSURANCE cover for a large number of third party clients. See also GROUP CAPTIVE, PROTECTED CELL COMPANY, PURE CAPTIVE, RENT-A-CAPTIVE, SISTER CAPTIVE."
Texas Ratio,The Texas ratio was developed to warn of credit problems at particular banks or banks in particular regions. The Texas ratio takes the amount of a bank's non-performing assets and divides this number by the sum of the bank's tangible common equity and its loan loss reserves. A ratio of more than 100 (or 1:1) indicates that non-performing assets are greater than the resources the bank may need to cover potential losses on those assets.
Conventional Mortgage,"A conventional mortgage or conventional loan is any type of home buyer’s loan that is not offered or secured by a government entity. Instead, conventional mortgages are available through private lenders, such as banks, credit unions, and mortgage companies. However, some conventional mortgages can be guaranteed by two government-sponsored enterprises; the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac).﻿﻿"
STYLE DRIFT,"A phenomenon when a HEDGE FUND or INVESTMENT COMPANY deviates from its original INVESTMENT focus and expertise in an attempt to find new opportunities to deploy CAPITAL. Style drift can intro- duce additional RISK into a fund, as managers may lack the requisite base of knowledge needed to effectively manage the ASSETS."
Dividend Growth Rate,The dividend growth rate is the annualized percentage rate of growth that a particular stock's dividend undergoes over a period of time. Many mature companies seek to increase the dividends paid to their investors on a regular basis. Knowing the dividend growth rate is a key input for stock valuation models known as dividend discount models.
REALIZED LOSS,"Losses on an ASSET (resulting from a negative change in valuation) that have been crystallized for ACCOUNTING purposes on the INCOME STATEMENT. A loss is realized through disposal of the asset. See alsoREALIZED GAIN, UNREALIZED LOSS."
RATCHET OPTION,See CLIQUET OPTION.
Obligor,"An obligor, also known as a debtor, is a person or entity who is legally or contractually obliged to provide a benefit or payment to another. In a financial context, the term ""obligor"" refers to a bond issuer who is contractually bound to make all principal repayments and interest payments on outstanding debt. The recipient of the benefit or payment is known as the obligee."
Stochastic Oscillator,"A stochastic oscillator is a momentum indicator comparing a particular closing price of a security to a range of its prices over a certain period of time. The sensitivity of the oscillator to market movements is reducible by adjusting that time period or by taking a moving average of the result. It is used to generate overbought and oversold trading signals, utilizing a 0–100 bounded range of values."
SINGLE LIFE ANNUITY,"An ANNUITY that is paid only to the BENEFICIARY during his/her lifetime, with no subsequent transfer to a survivor."
Phishing,"When someone attempts to get your personal information by pretending to work for a legitimate or legitimate-sounding organization, such as a bank or the government."
Return on Risk-Adjusted Capital (RORAC),"The return on risk-adjusted capital (RORAC) is a rate of return measure commonly used in financial analysis, where various projects, endeavors, and investments are evaluated based on capital at risk. Projects with different risk profiles are easier to compare with each other once their individual RORAC values have been calculated."
Floor Rate,The rate in an interest rate floor agreement.
Personal Finance,"Personal finance is a term that covers managing your money as well as saving and investing. It encompasses budgeting, banking, insurance, mortgages, investments, retirement planning, and tax and estate planning. The term often refers to the entire industry that provides financial services to individuals and households and advises them about financial and investment opportunities."
BANKING DIRECTIVE,"In the EUROPEAN UNION, a series of require- ments to which BANKS must adhere, including those related to CAPITAL ADEQUACY and solvency, MONEY LAUNDERING, CONCENTRATION RISKS, and cross-border licensing and marketing/distribution of INVESTMENTS. See also BASLE ACCORD, BASLE II, MARKETS IN FINANCIAL INSTRUMENTS DIRECTIVE."
William H. Gross,"Legendary bond investor who founded Pacific Investment Management Company (PIMCO), the largest bond fund in the world as of 2014. William H. Gross is notably known in the investment world as the king of bonds."
return on assets ROA,A profitability ratio; earnings before interest and taxes divided by total assets.
Capital asset pricing model,"A method of valuing ASSETS and calculating the COST OF CAPITAL (for an alternative, see ARBITRAGE PRICING THEORY). The capital asset pricing model (CAPM) has come to dominate modern finance."
EQUITABLE CONTROL,A theoretical concept in CORPORATE GOVER- NANCE where managers obtain or receive power from diffuse SHAREHOLDERS and act in the best interests of the firm.
ABATEMENT,A reduction in a payment due from an individual or company with insufficient funds or ASSETS to meet the full amount. An abatement may lead to cancellation of payments or some other form of RESTRUCTURING.
Federal Agencies,"Federal agencies are special government organizations set up for a specific purpose such as, the management of resources, financial oversight of industries, or national security issues. These organizations are typically created by legislative action, but may initially be set up by presidential order as well. The directors of these agencies are typically selected by presidential appointment."
Underemployment (resource),A situation that occurs when scarce resources are not put to their highest-valued use in the production of goods and services.
Central Counterparty Clearing House (CCP),"A central counterparty clearing house (CCP) is an entity that helps facilitate trading in various European derivatives and equities markets. Typically operated by the major banks in each country, CCPs strive to introduce efficiency and stability into various financial markets. It reduces counterparty, operational, settlement, market, legal, and default risk for traders."
Unemployment compensation,A program providing cash benefits for a specified period of time to workers who lose a job through no fault of their own. Also known as unemployment insurance.
BROAD MONEY,"The broad definition of MONEY SUPPLY, often measured through M3. See also NARROW MONEY."
Force Majeure,Force majeure refers to a clause that is included in contracts to remove liability for natural and unavoidable catastrophes that interrupt the expected course of events and prevent participants from fulfilling obligations.
STOCK INDEX,"An INDEX that includes a large number of quoted STOCKS, and which serves as a reference BENCHMARK for a country’s stock market. In many cases stock indexes are directly traded through DERIVATIVES and EXCHANGE-TRADED FUNDS, and can serve as a convenient INVESTMENT and RISK MANAGEMENT tool. Also known as SHARE INDEX."
Glide Path,"Glide path refers to a formula that defines the asset allocation mix of a target-date fund, based on the number of years to the target date. The glide path creates an asset allocation that typically becomes more conservative (i.e., includes more fixed-income assets and fewer equities) as a fund gets closer to the target date."
Discount,"A discount, broadly, refers to some reduction in the going price of an item or asset. In finance and investing, a discount refers to a situation when a security is trading for lower than its fundamental or intrinsic value."
marginal lending facility,The European Central Bank™s standing lending facility in which banks can borrow @against eligible collateral@ over-night loans from the national central bank at a rate 100 basis points above the target financing rate.
Bitcoin Wallet,"A Bitcoin wallet is a software program in which Bitcoins are stored. Technically, Bitcoins are not stored anywhere. For every individual who has a balance in a Bitcoin wallet, there is a private key (secret number) corresponding to the Bitcoin address of that wallet. Bitcoin wallets facilitate the sending and receiving of Bitcoins and give ownership of the Bitcoin balance to the user. The Bitcoin wallet comes in many forms. The four main types are desktop, mobile, web, and hardware."
Collateral,"The term collateral refers to an asset that a lender accepts as security for a loan. Collateral may take the form of real estate or other kinds of assets, depending on the purpose of the loan. The collateral acts as a form of protection for the lender. That is, if the borrower defaults on their loan payments, the lender can seize the collateral and sell it to recoup some or all of its losses."
Division of labor (elementary),Having people complete one small part of a larger task when producing a good or service.
Gross National Income (GNI),GNI is the total amount of money earned by a nation's people and businesses. It is used to measure and track a nation's wealth from year to year. The number includes the nation's gross domestic product plus the income it receives from overseas sources.
Americans with Disabilities Act (ADA),"The Americans with Disabilities Act (ADA) prohibits discrimination against people with disabilities and guarantees that they have equal opportunity to participate in mainstream American life. Passed in 1990, this federal law made it illegal to discriminate against a disabled person in terms of employment opportunities, access to transportation, public accommodations, communications, and government activities."
Multilateral Investment Guarantee Agency (MIGA),The Multilateral Investment Guarantee Agency is an international institution that promotes investment in developing countries by offering political and economic risk insurance.
Startup,"The term startup refers to a company in the first stages of operations. Startups are founded by one or more entrepreneurs who want to develop a product or service for which they believe there is demand. These companies generally start with high costs and limited revenue, which is why they look for capital from a variety of sources such as venture capitalists."
LSE,See LONDON STOCK EXCHANGE.
Oral Contract,"An oral contract is a type of business contract that is outlined and agreed to via spoken communication, but not written down. Although it can be difficult to prove the terms of an oral contract in the event of a breach, this type of contract is legally binding. Oral contracts are often mistakenly referred to as verbal contracts, but a verbal contract is really any contract since all contracts are created using language."
FRONT MONTH,See NEARBY CONTRACT.
Yearly Probability of Dying,Yearly probability of dying is a numerical figure that depicts the likelihood of someone dying per year. The yearly probability of dying is determined by looking at a mortality table which shows the rate of death at each age in terms of the number of deaths per thousand. The data in the chart is determined by dividing the number of people dying during a given year by the number of people alive at the beginning of that same year.
hierarchical mandate,"A mandate for the central bank that puts the goal of price stability first, but as long as it is achieved other goals can be pursued."
BASIS,"The price differential between an underlying ASSET reference and a DERIVATIVE contract used as a HEDGE. The basis arises as a result of differ- ences in SUPPLY/DEMAND, reference INDEXES, or FRICTION COSTS (includ- ing COST OF CARRY, storage, INSURANCE, transportation). See also  RISK, NEGATIVE , POSITIVE ."
automated teller machine @ATM@,"An electronic machine that allows customers to get cash, make deposits, transfer funds from one account to another, and check balances."
Fixed input,An input which cannot be varied in the short run is called a fixed input.
super display book @SDBK@,A computerized system for executing trades very rapidly that removes the specialist from the process.
BUSINESS JUDGMENT RULE,"A legal rule that permits DIRECTORS and executives of a company to make all relevant corporate business decisions, as long as they are made on an informed basis (i.e., with a DUTY OF CARE). The intent is to prevent the courts from adjudicating on whether or not a business decision is correct; they are limiting to judging only whether it has been made on the basis of appropriate facts and information."
Manufacturing,"Manufacturing is the processing of raw materials or parts into finished goods through the use of tools, human labor, machinery, and chemical processing. Large-scale manufacturing allows for the mass production of goods using assembly line processes and advanced technologies as core assets. Efficient manufacturing techniques enable manufacturers to take advantage of economies of scale, producing more units at a lower cost."
Share Certificate,A share certificate is a written document signed on behalf of a corporation that serves as legal proof of ownership of the number of shares indicated. A share certificate is also referred to as a stock certificate.
Trade Line,A trade line is a record of activity for any type of credit extended to a borrower and reported to a credit reporting agency. A trade line is established on a borrower’s credit report when a borrower is approved for credit. The trade line records all of the activity associated with an account.
Coin,"Money, usually minted from some combination of metals."
Marketing,"Marketing refers to activities a company undertakes to promote the buying or selling of a product or service. Marketing includes advertising, selling, and delivering products to consumers or other businesses. Some marketing is done by affiliates on behalf of a company."
Marginal Profit,Marginal profit is the profit earned by a firm or individual when one additional or marginal unit is produced and sold. Marginal refers to the added cost or profit earned with producing the next unit. Marginal product is the additional revenue earned while the marginal cost is the added cost for producing one additional unit.
LOOPHOLES,"Exceptions or exemptions in a TAX code that can be legally exploited in order to reduce tax LIABILITIES. See also TAX AVOIDANCE, TAX EVASION."
Type II Errors,"A type II error is a statistical term used within the context of hypothesis testing that describes the error that occurs when one accepts a null hypothesis that is actually false. A type II error produces a false negative, also known as an error of omission. For example, a test for a disease may report a negative result, when the patient is, in fact, infected. This is a type II error because we accept the conclusion of the test as negative, even though it is incorrect."
conditional tail expectation CTE,Expectation of a random variable conditional on its falling below some threshold value. Often used as a measure of downside risk.
Dynamic  Hedging,A  procedure  for  hedging  an  option  position  by  periodically changing  the position held in the underlying asset. The objective is usually to maintain a delta-neutral position.
XR,See EX-RIGHTS.
INSURED PERIL,A PERIL that is specifically covered by an INSURANCE CONTRACT.
Choice,A decision made between two or more possibilities or alternatives.
5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM),"A 5/1 hybrid adjustable-rate mortgage (5/1 ARM) begins with an initial five-year fixed-interest rate period, followed by a rate that adjusts on an annual basis. The ""5"" in the term refers to the number of years with a fixed rate, and the ""1"" refers to how often the rate adjusts after that (once per year). As such, monthly payments can go up—sometimes dramatically—after five years."
Loan Servicing,"Loan servicing refers to the administrative aspects of a loan from the time the proceeds are dispersed to the borrower until the loan is paid off. Loan servicing includes sending monthly payment statements, collecting monthly payments, maintaining records of payments and balances, collecting and paying taxes and insurance (and managing escrow funds), remitting funds to the note holder, and following up any delinquencies."
Overvalued,"An overvalued stock has a current price that is not justified by its earnings outlook, known as profit projections, or its price-earnings (P/E) ratio. Consequently, analysts and other economic experts expect the price to drop eventually."
Coefficient of Determination,"The coefficient of determination is a statistical measurement that examines how differences in one variable can be explained by the difference in a second variable, when predicting the outcome of a given event. In other words, this coefficient, which is more commonly known as R-squared (or R2), assesses how strong the linear relationship is between two variables, and is heavily relied on by researchers when conducting trend analysis. To cite an example of its application, this coefficient may contemplate the following question: if a woman becomes pregnant on a certain day, what is the likelihood that she would deliver her baby on a particular date in the future? In this scenario, this metric aims to calculate the correlation between two related events: conception and birth."
LIMIT BUY ORDER,"An ORDER to buy SECURITIES if a target level is reached, with no assurance the order can be filled at the limit price. See also LIMIT SELL ORDER."
Endogenous,Inside the economic model; the opposite of EXOGENOUS (see also GROWTH).
Junior Security,A junior security is one that has a lower priority claim than other securities with respect to the income or assets of its issuer.
RISK AVERSION,"A characteristic of an individual or institution that prefers less, rather than more, RISK, and is willing to pay a price or accept a lower RETURN for protection/mitigation (through, for example, INSURANCE, DERIVATIVES, or other methods of RISK TRANSFER or HEDGING). See alsoRISK NEUTRALITY, RISK SEEKING."
LICENSED CARRIER,See ADMITTED INSURER.
GNMA,See GOVERNMENT NATIONAL MORTGAGE ASSOCIATION.
RECOUPONING,"The process of MARKING-TO-MARKET and settling a PORTFOLIO of DERIVATIVES in order to reduce ACTUAL EXPOSURE between COUNTERPARTIES. A net cash SETTLEMENT is paid to the party holding the contracts with current value and the derivatives are then rewritten, or recou- poned, at current market levels. The process is then repeated at a future settle- ment period."
Regulatory risk,"A RISK faced by private-sector FIRMS that regulatory changes will hurt their business. In competitive markets, regulatory risk is usually small. But in NATURAL MONOPOLY industries, such as electricity distribution, it may be huge. To ensure that regulatory risk does not deter private firms from offering their services, a GOVERNMENT wishing to change its regulations may have good reason to compensate private firms that suffer losses as a result of the change."
Accretion,"Accretion is the gradual and incremental growth of assets and earnings due to business expansion, a company's internal growth, or a merger or acquisition."
Savings goal,A good or service that you want to buy in the future.
Cash Conversion Cycle (CCC),"The cash conversion cycle (CCC) is a metric that expresses the time (measured in days) it takes for a company to convert its investments in inventory and other resources into cash flows from sales. Also called the Net Operating Cycle or simply Cash Cycle, CCC attempts to measure how long each net input dollar is tied up in the production and sales process before it gets converted into cash received."
MINIMUM SUBSCRIPTION,"The minimum size (in value terms) of a NEW ISSUE of STOCK or a RIGHTS OFFERING that must be raised in order for the transaction to proceed. If the minimum subscription amount is not met, the transaction is cancelled."
Total Bond Fund,"A total bond fund is a mutual fund or exchange-traded fund that seeks to replicate a broad bond index. A total bond fund owns many securities across a range of maturities, from both public and private sectors. The most common index used as a benchmark is the Barclays Aggregate Bond Index, which captures Treasury bonds, corporate bonds, municipal bonds and high-grade mortgage-backed securities."
Understanding Estoppel,Estoppel is a legal principle that prevents someone from arguing something or asserting a right that contradicts what they previously said or agreed to by law. It is meant to prevent people from being unjustly wronged by the inconsistencies of another person's words or actions.
Whole Life Annuity,"A whole life annuity, also known as a life annuity, is a financial product sold by insurance companies; it pays monthly, quarterly, semi-annual, or annual payments to a person for as long as they live, beginning at a stated age. Annuities are usually purchased by investors who want to secure an income stream during retirement."
Future value,The value of an asset or cash at a specified date in the future that is equal in value to a specified sum today.
Estate,"An estate is everything comprising the net worth of an individual, including all land and real estate, possessions, financial securities, cash, and other assets that the individual owns or has a controlling interest in."
Bullet Bond,"A bullet bond is a debt instrument whose entire principal value is paid in one lump sum on the maturity date, as opposed to amortizing the bond over its lifetime. Bullet bonds cannot be redeemed early by an issuer, which means they are non-callable. Because of this, bullet bonds typically pay a relatively low rate of interest due to the issuer's high-interest rate exposure."
USD,"The USD is the abbreviation for the U.S. Dollar, the official currency of United States of America and the world's primary reserve currency."
Over-the-Counter Bulletin Board (OTCBB),"The over-the-counter bulletin board (OTCBB) is an electronic quotation service provided by the Financial Industry Regulatory Authority (FINRA) to its subscribing members that offers over-the-counter (OTC) trade data for U.S. stocks. Unlike other OTC platforms, OTCBB is a quotation-only service."
Indication of Interest (IOI),"An indication of interest (IOI) is an underwriting expression showing a conditional, non-binding interest in buying a security that is currently in registration—awaiting approval by the Securities and Exchange Commission (SEC). The investor's broker is required to provide the investor with a preliminary prospectus. However, IOIs in the mergers and acquisitions world have similar intent but are done differently."
Market,"A market is a place where two parties can gather to facilitate the exchange of goods and services. The parties involved are usually buyers and sellers. The market may be physical like a retail outlet, where people meet face-to-face, or virtual like an online market, where there is no direct physical contact between buyers and sellers."
Immunization,"Immunization, also known as multi-period immunization, is a risk-mitigation strategy that matches the duration of assets and liabilities in order to minimize the impact of interest rates on net worth over time."
Option Cycle,Option cycle refers to the expiration dates that apply to the different classes of options. A newly listed option is assigned a cycle randomly to broadly distribute options across varying time frames. It is also known as an expiration cycle.
Locked-In Retirement Account (LIRA),"A Locked-in Retirement Account (LIRA) is a type of registered pension fund in Canada that does not permit withdrawals before retirement except in exceptional circumstances. The locked-in retirement account is designed to hold pension funds for a former plan member, an ex-spouse, or a surviving spouse."
